,reference,candidate,index
0,Incubation period of the virus,incubation period of coronavirus,1
1,Incubation period of the virus,incubation period for a virus,2
2,Incubation period of the virus,incubation period for influenza,3
3,Length of viral shedding after illness onset,duration of viral shedding,1
4,Length of viral shedding after illness onset,duration of viral rna shedding,2
5,Length of viral shedding after illness onset,duration of viral shedding in stool,3
6,Incubation period across different age groups,incubation period for asymptomatic patients,1
7,Incubation period across different age groups,incubation period for asymptomatic,2
8,Incubation period across different age groups,average incubation period,3
9,Proportion of patients who were asymptomatic,average number of patients treated per week,1
10,Proportion of patients who were asymptomatic,what is the proportion of asymptomatic cases,2
11,Proportion of patients who were asymptomatic,what is the percentage of people who wear masks,3
12,Proportion of pediatric patients who were asymptomatic,what is the proportion of asymptomatic cases,1
13,Proportion of pediatric patients who were asymptomatic,what is the percentage of cancer patients who participate in clinical trials,2
14,Proportion of pediatric patients who were asymptomatic,how many patients are critically ill,3
15,Asymptomatic transmission during incubation,coronavirus symptoms in humans,1
16,Asymptomatic transmission during incubation,coronavirus in humans,2
17,Asymptomatic transmission during incubation,covid symptoms in pregnancy,3
18,Length of viral shedding in stool,duration of viral shedding in stool,1
19,Length of viral shedding in stool,duration of viral shedding,2
20,Length of viral shedding in stool,duration of viral rna shedding,3
21,Length of viral shedding from nasopharynx,duration of viral shedding in stool,1
22,Length of viral shedding from nasopharynx,duration of viral shedding,2
23,Length of viral shedding from nasopharynx,duration of viral rna shedding,3
24,Length of viral shedding in urine,duration of viral shedding in stool,1
25,Length of viral shedding in urine,duration of viral shedding,2
26,Length of viral shedding in urine,duration of viral rna shedding,3
27,Length of viral shedding in blood,duration of viral shedding in stool,1
28,Length of viral shedding in blood,duration of viral shedding,2
29,Length of viral shedding in blood,duration of viral rna shedding,3
30,Prevalence of viral shedding in blood,duration of viral shedding in stool,1
31,Prevalence of viral shedding in blood,duration of viral shedding,2
32,Prevalence of viral shedding in blood,prevalence of sars in children,3
33,Sensitivity and specificity of COVID-19 tests,cost of covid testing,1
34,Sensitivity and specificity of COVID-19 tests,what is the effect of covid-19 vaccine,2
35,Sensitivity and specificity of COVID-19 tests,what is the significance of the covid-19 outbreak,3
36,Effects of temperature on the transmission of COVID-19,what is the effect of temperature on the spread of covid,1
37,Effects of temperature on the transmission of COVID-19,what is the transmission of covid-19,2
38,Effects of temperature on the transmission of COVID-19,what is the effect of weather on the spread of covid,3
39,Effects of humidity on the transmission of COVID-19,what is the effect of temperature on the spread of covid,1
40,Effects of humidity on the transmission of COVID-19,what is the effect of weather on the spread of covid,2
41,Effects of humidity on the transmission of COVID-19,what is the transmission of covid-19,3
42,Effects of seasonality on the transmission of COVID-19,what is the transmission of covid-19,1
43,Effects of seasonality on the transmission of COVID-19,what is the effect of weather on the spread of covid,2
44,Effects of seasonality on the transmission of COVID-19,what is the effect of temperature on the spread of covid,3
45,Purity of ethanol to inactivate COVID-19,how to prevent covid-19,1
46,Purity of ethanol to inactivate COVID-19,what temperature to inactivate sars,2
47,Purity of ethanol to inactivate COVID-19,prevalence of covid 19,3
48,Temperature used for inactivating COVID-19,how to prevent covid-19,1
49,Temperature used for inactivating COVID-19,what temperature to inactivate sars,2
50,Temperature used for inactivating COVID-19,what is the genotype of covid-19,3
51,UVGI intensity used for inactivating COVID-19,how to prevent covid-19,1
52,UVGI intensity used for inactivating COVID-19,prevalence of covid 19,2
53,UVGI intensity used for inactivating COVID-19,symptoms of covid 19,3
54,Sample size used in COVID-19 studies,covid-19 symptoms,1
55,Sample size used in COVID-19 studies,what is the limitation of the covid-19 study,2
56,Sample size used in COVID-19 studies,what is the sample size of the covid study,3
57,RR for severe infection in COVID-19 patients with hypertension,covid 19 symptoms in children,1
58,RR for severe infection in COVID-19 patients with hypertension,symptoms of covid in children,2
59,RR for severe infection in COVID-19 patients with hypertension,covid-19 symptoms,3
60,HR for severe infection in COVID-19 patients with hypertension,covid 19 symptoms in children,1
61,HR for severe infection in COVID-19 patients with hypertension,covid-19 symptoms,2
62,HR for severe infection in COVID-19 patients with hypertension,symptoms of covid in children,3
63,OR for severe infection in COVID-19 patients with hypertension,covid-19 symptoms,1
64,OR for severe infection in COVID-19 patients with hypertension,covid 19 symptoms in children,2
65,OR for severe infection in COVID-19 patients with hypertension,is covid-19 a viral infection,3
66,Mortality rate for COVID-19 patients with hypertension,covid-19 symptoms,1
67,Mortality rate for COVID-19 patients with hypertension,covid 19 symptoms in children,2
68,Mortality rate for COVID-19 patients with hypertension,what is the covid-19 death rate,3
69,OR for severe infection in COVID-19 patients with diabetes,covid-19 symptoms,1
70,OR for severe infection in COVID-19 patients with diabetes,covid 19 symptoms in children,2
71,OR for severe infection in COVID-19 patients with diabetes,is covid-19 a viral infection,3
72,RR for severe infection in COVID-19 patients with diabetes,covid 19 symptoms in children,1
73,RR for severe infection in COVID-19 patients with diabetes,symptoms of covid in children,2
74,RR for severe infection in COVID-19 patients with diabetes,symptoms of covid in pregnancy,3
75,HR for death in COVID-19 patients with diabetes,age of death in covid,1
76,HR for death in COVID-19 patients with diabetes,causes of death in covid,2
77,HR for death in COVID-19 patients with diabetes,covid 19 symptoms in children,3
78,AHR for death in COVID-19 patients with diabetes,causes of death in covid,1
79,AHR for death in COVID-19 patients with diabetes,age of death in covid,2
80,AHR for death in COVID-19 patients with diabetes,covid 19 symptoms in children,3
